RTSW web plot data - created 2021-03-18 15:12:47
More information is available from SWPC at http://www.swpc.noaa.gov/products/real-time-solar-wind

Start: 2021-03-18T13:15:00
End:   2021-03-18T13:15:00
Source: 0=ACE, 1=DSCOVR, 2=mixed ACE+DSCOVR

Resolution: highres
Phi mean is the average angle, taking into account the wrapping at 0/360 degrees

More data is available from the NCEI archive at https://www.ngdc.noaa.gov/dscovr

Timestamp           Source        Bt        Bx        By        Bz       Phi     Theta      Dens     Speed      Temp
2021-03-18 13:15:00      1      4.27      2.44     -1.10      3.33    335.76     51.29      4.50    325.60     20655 
2021-03-18 13:15:01      1      4.31      2.46     -1.09      3.36    336.04     51.31    -99999    -99999    -99999 
2021-03-18 13:15:02      1      4.31      2.48     -1.06      3.36    336.84     51.24    -99999    -99999    -99999 
2021-03-18 13:15:03      1      4.31      2.50     -1.04      3.35    337.42     51.04    -99999    -99999    -99999 
2021-03-18 13:15:04      1      4.29      2.49     -1.06      3.34    337.01     51.01    -99999    -99999    -99999 
2021-03-18 13:15:05      1      4.28      2.46     -1.05      3.34    336.85     51.31    -99999    -99999    -99999 
2021-03-18 13:15:06      1      4.25      2.45     -1.09      3.29    336.05     50.85    -99999    -99999    -99999 
2021-03-18 13:15:07      1      4.27      2.49     -1.12      3.28    335.83     50.29    -99999    -99999    -99999 
2021-03-18 13:15:08      1      4.28      2.52     -1.15      3.27    335.59     49.68    -99999    -99999    -99999 
2021-03-18 13:15:09      1      4.28      2.47     -1.20      3.27    334.04     49.99    -99999    -99999    -99999 
2021-03-18 13:15:10      1      4.24      2.44     -1.18      3.26    334.28     50.24    -99999    -99999    -99999 
2021-03-18 13:15:11      1      4.27      2.44     -1.19      3.30    334.07     50.54    -99999    -99999    -99999 
2021-03-18 13:15:12      1      4.27      2.45     -1.19      3.29    334.04     50.36    -99999    -99999    -99999 
2021-03-18 13:15:13      1      4.25      2.50     -1.18      3.24    334.76     49.56    -99999    -99999    -99999 
2021-03-18 13:15:14      1      4.26      2.43     -1.10      3.32    335.75     51.24    -99999    -99999    -99999 
2021-03-18 13:15:15      1      4.26      2.42     -0.96      3.37    338.34     52.35    -99999    -99999    -99999 
2021-03-18 13:15:16      1      4.26      2.47     -0.96      3.33    338.68     51.55    -99999    -99999    -99999 
2021-03-18 13:15:17      1      4.29      2.44     -1.06      3.37    336.55     51.65    -99999    -99999    -99999 
2021-03-18 13:15:18      1      4.37      2.54     -1.09      3.38    336.76     50.77    -99999    -99999    -99999 
2021-03-18 13:15:19      1      4.31      2.46     -1.13      3.36    335.37     51.21    -99999    -99999    -99999 
2021-03-18 13:15:20      1      4.32      2.46     -1.13      3.38    335.32     51.29      4.56    326.50     21203 
2021-03-18 13:15:21      1      4.29      2.42     -1.10      3.36    335.54     51.61    -99999    -99999    -99999 
2021-03-18 13:15:22      1      4.30      2.44     -1.03      3.39    337.01     52.01    -99999    -99999    -99999 
2021-03-18 13:15:23      1      4.32      2.48     -0.96      3.41    338.85     52.12    -99999    -99999    -99999 
2021-03-18 13:15:24      1      4.35      2.50     -0.95      3.43    339.23     52.02    -99999    -99999    -99999 
2021-03-18 13:15:25      1      4.32      2.46     -0.95      3.42    338.88     52.33    -99999    -99999    -99999 
2021-03-18 13:15:26      1      4.36      2.49     -0.97      3.44    338.79     52.11    -99999    -99999    -99999 
2021-03-18 13:15:27      1      4.35      2.53     -0.90      3.42    340.35     51.81    -99999    -99999    -99999 
2021-03-18 13:15:28      1      4.37      2.51     -0.97      3.45    338.92     52.07    -99999    -99999    -99999 
2021-03-18 13:15:29      1      4.34      2.50     -0.96      3.41    339.07     51.86    -99999    -99999    -99999 
2021-03-18 13:15:30      1      4.33      2.47     -0.94      3.43    339.09     52.34    -99999    -99999    -99999 
2021-03-18 13:15:31      1      4.39      2.50     -0.96      3.47    338.93     52.38    -99999    -99999    -99999 
2021-03-18 13:15:32      1      4.33      2.49     -0.92      3.42    339.81     52.19    -99999    -99999    -99999 
2021-03-18 13:15:33      1      4.30      2.56     -0.86      3.35    341.39     51.16    -99999    -99999    -99999 
2021-03-18 13:15:34      1      4.27      2.49     -0.87      3.36    340.82     51.91    -99999    -99999    -99999 
2021-03-18 13:15:35      1      4.28      2.51     -0.87      3.36    340.96     51.61    -99999    -99999    -99999 
2021-03-18 13:15:36      1      4.27      2.49     -0.82      3.37    341.79     52.12    -99999    -99999    -99999 
2021-03-18 13:15:37      1      4.28      2.44     -0.86      3.42    340.60     52.96    -99999    -99999    -99999 
2021-03-18 13:15:38      1      4.26      2.40     -0.98      3.38    337.73     52.51    -99999    -99999    -99999 
2021-03-18 13:15:39      1      4.30      2.38     -1.17      3.38    333.83     51.84    -99999    -99999    -99999 
2021-03-18 13:15:40      1      4.28      2.37     -1.25      3.33    332.31     51.13      4.57    325.30     21034 
2021-03-18 13:15:41      1      4.13      2.28     -1.24      3.21    331.50     51.10    -99999    -99999    -99999 
2021-03-18 13:15:42      1      4.07      2.26     -1.32      3.13    329.74     50.14    -99999    -99999    -99999 
2021-03-18 13:15:43      1      4.02      2.24     -1.39      3.03    328.27     48.98    -99999    -99999    -99999 
2021-03-18 13:15:44      1      4.14      2.31     -1.41      3.14    328.66     49.28    -99999    -99999    -99999 
2021-03-18 13:15:45      1      4.19      2.29     -1.38      3.22    329.03     50.29    -99999    -99999    -99999 
2021-03-18 13:15:46      1      4.21      2.31     -1.41      3.23    328.52     50.04    -99999    -99999    -99999 
2021-03-18 13:15:47      1      4.29      2.34     -1.47      3.28    327.86     49.81    -99999    -99999    -99999 
2021-03-18 13:15:48      1      4.29      2.37     -1.43      3.28    328.92     49.81    -99999    -99999    -99999 
2021-03-18 13:15:49      1      4.29      2.36     -1.41      3.29    329.19     50.10    -99999    -99999    -99999 
2021-03-18 13:15:50      1      4.37      2.41     -1.41      3.36    329.71     50.28    -99999    -99999    -99999 
2021-03-18 13:15:51      1      4.40      2.47     -1.37      3.37    330.92     50.07    -99999    -99999    -99999 
2021-03-18 13:15:52      1      4.39      2.44     -1.37      3.38    330.63     50.42    -99999    -99999    -99999 
2021-03-18 13:15:53      1      4.44      2.48     -1.39      3.41    330.65     50.14    -99999    -99999    -99999 
2021-03-18 13:15:54      1      4.45      2.45     -1.45      3.42    329.39     50.27    -99999    -99999    -99999 
2021-03-18 13:15:55      1      4.45      2.48     -1.40      3.41    330.60     50.15    -99999    -99999    -99999 
2021-03-18 13:15:56      1      4.40      2.40     -1.44      3.39    329.10     50.52    -99999    -99999    -99999 
2021-03-18 13:15:57      1      4.39      2.41     -1.41      3.39    329.74     50.48    -99999    -99999    -99999 
2021-03-18 13:15:58      1      4.43      2.45     -1.42      3.40    329.97     50.22    -99999    -99999    -99999 
2021-03-18 13:15:59      1      4.39      2.42     -1.34      3.40    331.10     50.87    -99999    -99999    -99999 
2021-03-18 13:16:00      1      4.45      2.47     -1.36      3.44    331.27     50.67      4.33    326.60     20483 
2021-03-18 13:16:01      1      4.43      2.42     -1.40      3.44    329.92     50.88    -99999    -99999    -99999 
2021-03-18 13:16:02      1      4.39      2.41     -1.43      3.38    329.30     50.36    -99999    -99999    -99999 
2021-03-18 13:16:03      1      4.41      2.41     -1.40      3.41    329.84     50.73    -99999    -99999    -99999 
2021-03-18 13:16:04      1      4.41      2.39     -1.44      3.42    328.98     50.79    -99999    -99999    -99999 
2021-03-18 13:16:05      1      4.41      2.41     -1.44      3.40    329.12     50.50    -99999    -99999    -99999 
2021-03-18 13:16:06      1      4.36      2.36     -1.43      3.37    328.81     50.69    -99999    -99999    -99999 
2021-03-18 13:16:07      1      4.36      2.42     -1.26      3.41    332.53     51.33    -99999    -99999    -99999 
2021-03-18 13:16:08      1      4.38      2.43     -1.18      3.45    334.02     51.91    -99999    -99999    -99999 
2021-03-18 13:16:09      1      4.41      2.47     -1.07      3.49    336.49     52.38    -99999    -99999    -99999 
2021-03-18 13:16:10      1      4.49      2.49     -1.11      3.57    336.02     52.62    -99999    -99999    -99999 
2021-03-18 13:16:11      1      4.46      2.46     -1.30      3.48    332.10     51.42    -99999    -99999    -99999 
2021-03-18 13:16:12      1      4.46      2.45     -1.33      3.49    331.58     51.37    -99999    -99999    -99999 
2021-03-18 13:16:13      1      4.43      2.44     -1.29      3.46    332.03     51.43    -99999    -99999    -99999 
2021-03-18 13:16:14      1      4.45      2.46     -1.34      3.46    331.38     50.97    -99999    -99999    -99999 
2021-03-18 13:16:15      1      4.43      2.41     -1.41      3.44    329.72     50.96    -99999    -99999    -99999 
2021-03-18 13:16:16      1      4.45      2.46     -1.36      3.45    331.05     50.82    -99999    -99999    -99999 
2021-03-18 13:16:17      1      4.44      2.47     -1.28      3.45    332.60     51.11    -99999    -99999    -99999 
2021-03-18 13:16:18      1      4.38      2.43     -1.20      3.44    333.72     51.81    -99999    -99999    -99999 
2021-03-18 13:16:19      1      4.41      2.46     -1.19      3.46    334.05     51.70    -99999    -99999    -99999 
2021-03-18 13:16:20      1      4.46      2.50     -1.18      3.50    334.61     51.68      4.38    326.10     20862 
2021-03-18 13:16:21      1      4.45      2.48     -1.20      3.49    334.21     51.71    -99999    -99999    -99999 
2021-03-18 13:16:22      1      4.40      2.43     -1.23      3.46    333.22     51.83    -99999    -99999    -99999 
2021-03-18 13:16:23      1      4.45      2.49     -1.31      3.45    332.32     50.86    -99999    -99999    -99999 
2021-03-18 13:16:24      1      4.44      2.53     -1.29      3.42    332.88     50.30    -99999    -99999    -99999 
2021-03-18 13:16:25      1      4.41      2.47     -1.21      3.44    333.91     51.42    -99999    -99999    -99999 
2021-03-18 13:16:26      1      4.42      2.49     -1.18      3.45    334.61     51.43    -99999    -99999    -99999 
2021-03-18 13:16:27      1      4.41      2.47     -1.20      3.45    334.12     51.52    -99999    -99999    -99999 
2021-03-18 13:16:28      1      4.40      2.44     -1.17      3.47    334.36     52.07    -99999    -99999    -99999 
2021-03-18 13:16:29      1      4.39      2.42     -1.16      3.47    334.33     52.29    -99999    -99999    -99999 
2021-03-18 13:16:30      1      4.40      2.46     -1.15      3.46    334.89     51.93    -99999    -99999    -99999 
2021-03-18 13:16:31      1      4.42      2.46     -1.19      3.48    334.11     51.89    -99999    -99999    -99999 
2021-03-18 13:16:32      1      4.42      2.48     -1.21      3.45    333.99     51.38    -99999    -99999    -99999 
2021-03-18 13:16:33      1      4.43      2.52     -1.16      3.45    335.22     51.18    -99999    -99999    -99999 
2021-03-18 13:16:34      1      4.40      2.50     -1.11      3.44    336.03     51.59    -99999    -99999    -99999 
2021-03-18 13:16:35      1      4.42      2.52     -1.08      3.46    336.78     51.61    -99999    -99999    -99999 
2021-03-18 13:16:36      1      4.42      2.50     -1.11      3.47    336.12     51.69    -99999    -99999    -99999 
2021-03-18 13:16:37      1      4.46      2.54     -1.04      3.52    337.79     51.99    -99999    -99999    -99999 
2021-03-18 13:16:38      1      4.51      2.55     -0.94      3.60    339.70     52.98    -99999    -99999    -99999 
2021-03-18 13:16:39      1      4.44      2.51     -0.86      3.56    341.07     53.33    -99999    -99999    -99999 
2021-03-18 13:16:40      1      4.45      2.50     -0.92      3.57    339.75     53.31      4.32    327.00     20626 
2021-03-18 13:16:41      1      4.46      2.49     -0.87      3.59    340.75     53.73    -99999    -99999    -99999 
2021-03-18 13:16:42      1      4.51      2.55     -0.91      3.61    340.41     53.09    -99999    -99999    -99999 
2021-03-18 13:16:43      1      4.49      2.53     -0.89      3.60    340.67     53.32    -99999    -99999    -99999 
2021-03-18 13:16:44      1      4.44      2.54     -0.84      3.55    341.66     53.04    -99999    -99999    -99999 
2021-03-18 13:16:45      1      4.45      2.41     -0.90      3.63    339.61     54.69    -99999    -99999    -99999 
2021-03-18 13:16:46      1      4.46      2.45     -0.81      3.63    341.62     54.60    -99999    -99999    -99999 
2021-03-18 13:16:47      1      4.46      2.43     -0.76      3.65    342.60     55.12    -99999    -99999    -99999 
2021-03-18 13:16:48      1      4.46      2.47     -0.75      3.64    343.02     54.64    -99999    -99999    -99999 
2021-03-18 13:16:49      1      4.47      2.47     -0.75      3.65    343.21     54.71    -99999    -99999    -99999 
2021-03-18 13:16:50      1      4.51      2.49     -0.74      3.68    343.48     54.78    -99999    -99999    -99999 
2021-03-18 13:16:51      1      4.48      2.48     -0.76      3.65    343.02     54.62    -99999    -99999    -99999 
2021-03-18 13:16:52      1      4.46      2.42     -0.74      3.68    342.90     55.46    -99999    -99999    -99999 
2021-03-18 13:16:53      1      4.46      2.44     -0.75      3.66    342.83     55.14    -99999    -99999    -99999 
2021-03-18 13:16:54      1      4.48      2.48     -0.74      3.65    343.45     54.70    -99999    -99999    -99999 
2021-03-18 13:16:55      1      4.48      2.40     -0.79      3.69    341.73     55.58    -99999    -99999    -99999 
2021-03-18 13:16:56      1      4.44      2.38     -0.77      3.66    342.12     55.63    -99999    -99999    -99999 
2021-03-18 13:16:57      1      4.47      2.39     -0.81      3.68    341.40     55.54    -99999    -99999    -99999 
2021-03-18 13:16:58      1      4.50      2.41     -0.82      3.70    341.24     55.47    -99999    -99999    -99999 
2021-03-18 13:16:59      1      4.48      2.42     -0.82      3.68    341.35     55.30    -99999    -99999    -99999 
2021-03-18 13:17:00      1      4.51      2.42     -0.85      3.70    340.75     55.30      4.39    325.50     20287 
2021-03-18 13:17:01      1      4.54      2.44     -0.82      3.73    341.51     55.42    -99999    -99999    -99999 
2021-03-18 13:17:02      1      4.50      2.43     -0.79      3.71    341.94     55.43    -99999    -99999    -99999 
2021-03-18 13:17:03      1      4.48      2.36     -0.77      3.73    342.01     56.39    -99999    -99999    -99999 
2021-03-18 13:17:04      1      4.46      2.36     -0.78      3.70    341.75     56.17    -99999    -99999    -99999 
2021-03-18 13:17:05      1      4.47      2.35     -0.79      3.71    341.43     56.25    -99999    -99999    -99999 
2021-03-18 13:17:06      1      4.49      2.40     -0.82      3.71    341.18     55.70    -99999    -99999    -99999 
2021-03-18 13:17:07      1      4.48      2.38     -0.83      3.70    340.87     55.69    -99999    -99999    -99999 
2021-03-18 13:17:08      1      4.49      2.38     -0.87      3.70    339.95     55.62    -99999    -99999    -99999 
2021-03-18 13:17:09      1      4.47      2.34     -0.83      3.72    340.61     56.24    -99999    -99999    -99999 
2021-03-18 13:17:10      1      4.48      2.38     -0.73      3.73    342.88     56.28    -99999    -99999    -99999 
2021-03-18 13:17:11      1      4.48      2.38     -0.78      3.72    341.87     56.09    -99999    -99999    -99999 
2021-03-18 13:17:12      1      4.48      2.41     -0.80      3.69    341.61     55.48    -99999    -99999    -99999 
2021-03-18 13:17:13      1      4.48      2.38     -0.84      3.70    340.44     55.70    -99999    -99999    -99999 
2021-03-18 13:17:14      1      4.48      2.41     -0.87      3.67    340.12     55.04    -99999    -99999    -99999 
2021-03-18 13:17:15      1      4.49      2.41     -0.87      3.69    340.14     55.17    -99999    -99999    -99999 
2021-03-18 13:17:16      1      4.47      2.38     -0.87      3.69    339.81     55.54    -99999    -99999    -99999 
2021-03-18 13:17:17      1      4.46      2.41     -0.84      3.66    340.79     55.06    -99999    -99999    -99999 
2021-03-18 13:17:18      1      4.44      2.44     -0.84      3.61    340.98     54.40    -99999    -99999    -99999 
2021-03-18 13:17:19      1      4.46      2.38     -0.82      3.69    340.98     55.67    -99999    -99999    -99999 
2021-03-18 13:17:20      1      4.47      2.35     -0.81      3.71    340.96     56.23      4.44    325.90     20496 
2021-03-18 13:17:21      1      4.48      2.41     -0.82      3.68    341.16     55.33    -99999    -99999    -99999 
2021-03-18 13:17:22      1      4.48      2.43     -0.91      3.66    339.45     54.67    -99999    -99999    -99999 
2021-03-18 13:17:23      1      4.44      2.35     -0.87      3.66    339.63     55.57    -99999    -99999    -99999 
2021-03-18 13:17:24      1      4.46      2.41     -0.93      3.63    338.95     54.57    -99999    -99999    -99999 
2021-03-18 13:17:25      1      4.47      2.41     -1.00      3.63    337.57     54.27    -99999    -99999    -99999 
2021-03-18 13:17:26      1      4.46      2.41     -1.01      3.61    337.36     54.10    -99999    -99999    -99999 
2021-03-18 13:17:27      1      4.44      2.36     -0.97      3.64    337.69     54.99    -99999    -99999    -99999 
